matrixID,hand_prop,x_axis,y_axis,1:1<name>,1:1<imageFileName>,1:1<pdf>,1:3<name>,1:3<imageFileName>,1:3<pdf>
0x0x0,TS TS,Tog Out,Tog In,Horizontal Antispin ,i11_shape0.png,,2 Petal Spin Flower Vertical Orientation,i13_shape0.png,1
0x0x1,TS TS,Tog in,Tog Out,Vertical Antispin ,i11_shape1.png,,2 Petal Spin Flower Horizontal Orientation,i13_shape1.png,1
0x0x2,TS TS,Tog Out,Tog Out,Extension ,i11_shape2.png,,4 Petal Antispin Flower Diamond Orientation,i13_shape2.png,1
0x0x3,TS TS,Tog In,Tog in,Isolation ,i11_shape3.png,,4 Petal Antispin Flower Box Orientation,i13_shape3.png,1
0x1x0,TS SS,Tog Split,Tog Split,Horizontal Antispin vs Vertical Antispin ,i11_shape4.png,,2 Petal Spin Flower Vertical Orientation vs  2 Petal Spin Flower Horizontal Orientation,i13_shape4.png,3
0x1x1,TS SS,Tog Split,Tog Split,Extension vs Isolation ,i11_shape5.png,,Diamond Antispin vs  Box Antispin,i13_shape5.png,3
0x2x0,TS TO,Tog Split,Tog Out,Extension vs Vertical Antispin ,i11_shape6.png,,Diamond Antispin vs  2 Petal Spin Flower Horizontal Orientation,i13_shape6.png,2
0x2x1,TS TO,Tog Split,Tog in,Isolation vs Horizontal Antispin ,i11_shape7.png,,Box Antispin vs  2 Petal Spin Flower Vertical Orientation,i13_shape7.png,2
0x3x0,TS SO,Tog Out,Tog Split,Extension vs Horizontal Antispin ,i11_shape8.png,,Diamond Antispin vs  2 Petal Spin Flower Vertical Orientation,i13_shape8.png,2
0x3x1,TS SO,Tog in,Tog Split,Isolation vs Vertical Antispin ,i11_shape9.png,,Box Antispin vs  2 Petal Spin Flower Horizontal Orientation,i13_shape9.png,2
